id,X,Y,zipcode,greening_rate,plot_area,first_hand,price,distance,b_subway,n_school
170107,116.3296229,39.90638053,100038,25,1.25,f,75754,0.004524277,1,0
170850,116.430716,39.91111936,100005,25,1.25,f,91738,0.00121207,1,0
165189,116.2555427,39.91801293,100143,30,1.25,f,80117,0.019794912,1,0
166639,116.4709707,39.92071267,100026,30,1.25,f,73532,0.005611605,1,0
169131,116.4123121,39.94266879,100011,30,1.25,f,116467,0.000979813,1,1
169200,116.4064941,39.95077287,100011,30,1.25,f,146367,0.00132726,1,0
169532,116.2698848,39.90603655,100036,30,1.25,f,86132,0.016056299,1,0
170113,116.339027,39.99591411,100083,30,1.25,f,81152,0.009686106,1,0
170319,116.2539525,39.90640663,100039,30,1.25,f,97594,0.020328653,1,0
170791,116.4299976,39.91339936,100005,30,1.25,f,108549,0.001146786,1,1
170944,116.4134211,39.94359673,100007,30,1.25,f,102630,0.001067425,1,1
168548,116.4724708,39.79882454,100176,35,1.25,f,45593,0.019502122,1,0
169607,116.2654943,40.04861787,100094,35,1.25,f,59806,0.034724483,0,1
169864,116.3237453,39.96548949,100086,35,1.25,f,38308,0.00771964,1,0
172387,116.3467159,39.93409176,100037,35,1.25,f,85046,0.002784513,1,0
175563,116.1134169,39.95486084,102399,35,1.25,f,20916,0.081501781,0,0
174459,116.3353932,39.7962469,102600,36,1.25,f,49080,0.017997626,1,0
167122,116.4950846,39.79339727,100176,37.5,1.25,f,54987,0.024761534,1,0
171154,116.4950846,39.79339727,100176,37.5,1.25,f,61004,0.024761534,1,0
168315,116.4449529,39.90770203,100022,30,1.26,f,62130,0.002440797,1,1
168356,116.5040821,39.84336659,100023,30,1.26,f,42828,0.016883729,0,0
166257,116.2724043,39.94029814,100195,33,1.26,f,101535,0.015929507,0,0
171133,116.48339,39.80018453,100176,35,1.26,f,45813,0.020970171,1,0
166974,116.4459368,39.80674317,100076,40,1.26,f,43221,0.014369515,0,0
171107,116.504243,39.79263439,100176,40,1.26,f,51415,0.026843663,1,0
169299,116.2736737,39.95081947,100195,47.5,1.26,f,115179,0.016242559,1,1
170214,116.3388503,40.05088881,100096,38,1.27,f,41381,0.021534866,1,0
168818,116.5999918,39.89134972,100121,30,1.28,f,30658,0.042121741,1,0
300116,116.2794786,40.02006828,100193,35,1.28,f,68744,0.024496258,1,1
300117,116.2725574,39.94000337,100195,35,1.28,f,101206,0.015877274,1,0
174487,116.4519286,39.8129254,100076,37.4,1.28,f,49228,0.013690747,1,0
171632,116.2695071,39.88696033,100141,35,1.29,f,87770,0.01688904,0,0
173722,116.4273296,39.9144684,100005,10,1.3,f,122371,0.000969634,1,0
170166,116.3319335,39.95629557,100081,15,1.3,f,93788,0.005771026,1,0
172283,116.3775867,39.94217819,100035,16,1.3,f,105238,0.001041954,1,0
173835,116.3943104,39.9412316,100009,16,1.3,f,123312,0.000649396,1,0
165498,116.6374133,39.88705933,101121,20,1.3,f,42828,0.059001384,1,0
168945,116.3646396,40.01491491,100083,20,1.3,f,58065,0.010817123,1,0
170054,116.2849859,39.92672464,100142,20,1.3,f,74681,0.012491936,1,0
170801,116.4244826,39.88510424,100061,20,1.3,f,74623,0.001742232,1,0
171772,116.1883111,39.90685113,100043,20,1.3,f,49820,0.043306551,1,0
170513,116.3481224,40.01530768,100085,22,1.3,f,74976,0.012211178,1,0
165561,116.6404002,39.89819827,101121,25,1.3,f,49898,0.059934495,0,0
166135,116.1714062,39.93039694,100041,25,1.3,f,32196,0.050753732,0,0
166592,116.4179145,40.03218727,100012,25,1.3,f,31000,0.014011993,1,0
